recommendation_id,steam_id,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
156194728,76561198319092660,0,10,12317,57,11924,1713400317,english,"Overconfidence is a slow and insidious killer",1705527845,1705527845,True,95,7,0.885886847972869873,0,True,False,False
156738165,76561198069817274,0,4,5961,0,5800,1706148744,english,"I picked up a game to help rid me of stress after work. It did not work. 10/10",1706139226,1706139226,True,86,29,0.882251501083374023,0,True,False,False
140118387,76561198084896263,0,26,3800,375,3203,1713588918,english,"Remind yourself that overconfidence is a slow and insidious killer",1686857559,1686857559,True,93,14,0.866082310676574707,0,True,False,False
147878547,76561198007806403,0,11,2049,0,1262,1697154742,english,"I tried uncovering the secrets of my ancestors and all I got was severe mental illness. 101/10, would lose self to madness again.",1696783763,1696783763,True,66,13,0.860053956508636475,0,True,False,False
162089277,76561199119084882,92,5,39995,0,39919,1712515624,english,"Darkest Dungeon is a wonderful, genre defining classic that helped me through one of the most stressful years of my life. Hamlet became a place of respite and booting up the game was one of the few joys I got out of life, as pathetic as it sounds.\n\nI will try to put it bluntly, DD is not a grindy or hard game people make it to be. It is very easy to accrue wealth and heirlooms by abusing the low light reward mechanics and using antiquarians. Stunning and stalling are so comically overpowered that the devs had to nerf them in the sequel. Don't be intimidated by the illusionary difficulty of the game, and you will discover a gem with amazing, Lovecraft inspired writing combined with competent narration and a beautiful soundtrack that complements each other perfectly.\n\nAll of the DLC's are worth buying, I wouldn't recommend activating them in the first playthrough though as it might prove to be problematic because of the extra layer of complexity and difficulty they add to the game.\n\n[b]So, steel yourself, and remember, there can be no bravery without madness.[/b]\n[b]The Old Road will take you to Hell, but in that gaping abyss, we will find our redemption.[/b]\n",1712122985,1712122985,True,64,5,0.849116802215576172,1,True,False,False
160752194,76561198263440210,195,19,3288,0,3288,1702582907,english,"Overconfidence is a slow and insidious killer.",1710673202,1710673202,True,121,14,0.837169170379638672,0,False,False,False
144672503,76561198924032786,91,93,309,1,308,1713590643,english,"Remind yourself that overconfidence is a slow and insidious killer",1692566147,1692566147,True,55,7,0.835970699787139893,0,True,False,False
161627399,76561198830953169,147,7,4963,196,4520,1713985500,english,"My favorite part of the game is when an enemy hits a character with 93 dodge for critical 33 damage.",1711597338,1711597338,True,66,27,0.828033506870269775,2,True,False,False
149971761,76561198176927217,71,12,8843,0,8843,1633017922,english,"overconfidence is a slow and insidious killer",1699752493,1699752493,True,72,3,0.821759521961212158,0,True,False,False
161139133,76561198052552395,0,28,6049,0,6049,1711261009,english,"In brightest day, in blackest night,\nNo evil shall escape my sight.\nLet those who worship evil's might,\n... oh no my light went out! \n\nIt's the Stress that gets you in the end...",1711101822,1711101822,True,60,19,0.821152567863464355,0,True,False,False
